,activation,batch_size,features,input_keep_prob,layers_units,learning_rate,name,num_epochs,optimizer,output_keep_prob,patience,rnn_unit_type,sliding_decoder,sliding_encoder,state_keep_prob,variational_recurrent
0,tanh,16,['meanCPUUsage'],0.95,[32],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,0.8,20,lstm,4,24,0.8,True
1,tanh,16,['meanCPUUsage'],0.8,"[8, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,0.95,20,lstm,6,30,0.95,True
2,tanh,32,['meanCPUUsage'],0.95,[32],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,0.95,20,lstm,6,24,0.8,True
3,sigmoid,16,['meanCPUUsage'],0.95,"[8, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,0.8,20,lstm,4,30,0.95,True
4,sigmoid,16,['meanCPUUsage'],0.8,"[32, 8]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,0.95,20,lstm,2,24,0.95,True
5,tanh,16,['meanCPUUsage'],0.8,[32],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,0.95,20,lstm,4,18,0.8,True
6,tanh,16,['meanCPUUsage'],0.8,"[8, 4]",0.005,data_resource_usage_5Minutes_6176858948.csv,2000,adam,0.95,20,lstm,6,18,0.95,True
7,sigmoid,32,['meanCPUUsage'],0.95,"[8, 4]",0.005,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,0.95,20,lstm,6,24,0.95,True
8,sigmoid,16,['meanCPUUsage'],0.95,"[16, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,0.8,20,lstm,6,18,0.8,True
9,tanh,32,['meanCPUUsage'],0.95,"[16, 4]",0.005,data_resource_usage_5Minutes_6176858948.csv,2000,adam,0.95,20,lstm,4,18,0.95,True
