,activation,batch_size,data_directory,data_name,dropout_rate,features,hidden_layers,learning_rate,num_epochs,optimizer,patience,sliding_inference
38,sigmoid,32,./data/,data_resource_usage_5Minutes_6176858948,0.8,"[['meanCPUUsage'], ['meanCPUUsage']]",[4],0.005,100,adam,10,10
39,sigmoid,32,./data/,data_resource_usage_5Minutes_6176858948,0.6,"[['meanCPUUsage'], ['meanCPUUsage']]",[4],0.005,100,rmsprop,10,8
40,sigmoid,32,./data/,data_resource_usage_5Minutes_6176858948,0.6,"[['meanCPUUsage'], ['meanCPUUsage']]",[10],0.005,100,rmsprop,10,10
41,tanh,32,./data/,data_resource_usage_5Minutes_6176858948,0.8,"[['meanCPUUsage'], ['meanCPUUsage']]",[10],0.005,100,rmsprop,10,8
42,tanh,32,./data/,data_resource_usage_5Minutes_6176858948,0.6,"[['meanCPUUsage'], ['meanCPUUsage']]","[8, 10]",0.005,100,rmsprop,10,8
43,tanh,32,./data/,data_resource_usage_5Minutes_6176858948,0.8,"[['meanCPUUsage'], ['meanCPUUsage']]",[4],0.005,100,rmsprop,10,8
44,tanh,32,./data/,data_resource_usage_5Minutes_6176858948,0.6,"[['meanCPUUsage'], ['meanCPUUsage']]",[10],0.005,100,adam,10,10
45,tanh,32,./data/,data_resource_usage_5Minutes_6176858948,0.6,"[['meanCPUUsage'], ['meanCPUUsage']]",[4],0.005,100,rmsprop,10,10
46,tanh,32,./data/,data_resource_usage_5Minutes_6176858948,0.8,"[['meanCPUUsage'], ['meanCPUUsage']]",[10],0.005,100,adam,10,10
47,tanh,32,./data/,data_resource_usage_5Minutes_6176858948,0.6,"[['meanCPUUsage'], ['meanCPUUsage']]",[10],0.005,100,adam,10,8
