4,1.623359,1.685938
5,0.529818,0.643934
11,0.387101,0.524728
14,0.880358,0.971435
10,0.497286,0.609579
17,0.896280,0.983658
15,0.379014,0.515715
20,0.517111,0.635683
21,0.320618,0.484701
19,0.408908,0.592374
25,0.423218,0.554965
8,0.314360,0.500951
1,0.714010,0.810934
23,0.309141,0.503025
22,0.301297,0.475325
12,0.759361,0.842399
27,0.321675,0.493760
31,0.823661,0.912189
32,0.499823,0.613223
33,0.886746,0.962332
30,0.728207,0.808595
9,0.456918,0.589133
36,1.021584,1.092763
37,0.340514,0.497910
39,0.628207,0.734174
40,0.495400,0.640848
41,0.426426,0.602965
6,0.665895,0.773165
0,0.591347,0.710843
44,0.302895,0.469065
16,0.357762,0.508590
46,1.031542,1.100091
45,0.373174,0.517265
48,0.992526,1.057968
49,0.308401,0.475048
26,0.344719,0.513025
50,0.324733,0.487526
52,0.833968,0.913058
47,0.490998,0.607062
7,0.629126,0.739378
53,0.512398,0.621895
55,0.354788,0.514569
54,0.555088,0.657007
57,0.431171,0.556486
58,1.043788,1.142023
13,0.442095,0.568709
59,0.471709,0.590104
35,0.301232,0.488548
60,0.847740,0.932882
2,0.288466,0.473961
56,0.298829,0.477992
18,0.323084,0.500145
3,0.386967,0.524001
28,0.413800,0.546911
63,0.319814,0.489703
29,0.290092,0.473096
34,0.326338,0.494024
38,0.450902,0.578670
51,0.511190,0.621049
24,0.431237,0.565693
42,0.298299,0.483852
43,0.608204,0.703566
62,0.336897,0.489956
61,0.303236,0.486428
78,0.935736,1.011847
73,0.403690,0.537479
74,0.821434,0.904740
79,0.320351,0.480796
77,0.849179,0.929740
70,0.412758,0.543442
66,0.387839,0.524516
64,0.597113,0.699076
81,0.668290,0.759014
83,1.052775,1.150729
75,0.319936,0.481288
87,0.389993,0.533810
90,0.794646,0.878494
82,0.408551,0.539773
86,0.591170,0.705553
65,0.602293,0.752596
93,1.199845,1.264516
88,0.493705,0.614222
89,0.673639,0.766493
96,0.433059,0.563967
99,0.446876,0.570763
97,0.355447,0.503471
98,0.331826,0.490945
100,0.857092,0.934958
101,1.043719,1.112721
104,0.740897,0.837752
103,0.396252,0.530173
95,0.341107,0.498980
105,0.456214,0.578592
107,0.424701,0.552908
109,1.025365,1.094394
71,0.404641,0.541329
69,0.338125,0.491145
112,0.504448,0.619473
113,0.451444,0.572139
114,0.341632,0.504648
67,0.314077,0.480129
116,0.905156,0.987705
117,0.469980,0.586047
118,0.356065,0.508983
111,0.552761,0.666198
92,0.488714,0.603945
121,0.453407,0.571165
84,0.391375,0.539852
85,0.314658,0.481193
119,0.291954,0.478538
108,0.503693,0.669875
68,0.424375,0.584587
126,0.523569,0.629281
125,0.663269,0.786858
102,0.289000,0.478309
127,0.302067,0.477821
115,0.667855,0.780525
72,0.696726,0.823650
110,0.292851,0.480257
80,0.303863,0.486558
94,0.444751,0.568712
122,0.305299,0.495214
91,0.298901,0.478551
76,0.316480,0.485661
106,0.633048,0.729568
123,0.296487,0.486964
120,0.384812,0.522141
124,0.323828,0.489096
132,0.963995,1.036088
131,0.391671,0.539337
129,0.842909,0.923707
130,0.928714,1.012033
128,0.458524,0.586610
142,0.834381,0.917138
135,0.787257,0.870004
137,0.423541,0.552524
133,0.300445,0.473987
139,0.600117,0.703165
143,0.371681,0.509379
149,0.386685,0.546211
144,0.368646,0.511591
